time,bin_left,bin_right,density
3.6,-1.15,-1.10965,0
3.6,-1.10965,-1.0693,0
3.6,-1.0693,-1.02895,0
3.6,-1.02895,-0.988596,0
3.6,-0.988596,-0.948246,0
3.6,-0.948246,-0.907895,0
3.6,-0.907895,-0.867544,0.386196
3.6,-0.867544,-0.827193,18.6778
3.6,-0.827193,-0.786842,3.22587
3.6,-0.786842,-0.746491,0.76413
3.6,-0.746491,-0.70614,0.320109
3.6,-0.70614,-0.665789,0.198261
3.6,-0.665789,-0.625439,0.119783
3.6,-0.625439,-0.585088,0.080543
3.6,-0.585088,-0.544737,0.064022
3.6,-0.544737,-0.504386,0.049565
3.6,-0.504386,-0.464035,0.0475
3.6,-0.464035,-0.423684,0.053696
3.6,-0.423684,-0.383333,0.028913
3.6,-0.383333,-0.342982,0.053696
3.6,-0.342982,-0.302632,0.026848
3.6,-0.302632,-0.262281,0.030978
3.6,-0.262281,-0.22193,0.028913
3.6,-0.22193,-0.181579,0.020652
3.6,-0.181579,-0.141228,0.026848
3.6,-0.141228,-0.100877,0.028913
3.6,-0.100877,-0.060526,0.018587
3.6,-0.060526,-0.020175,0.014457
3.6,-0.020175,0.020175,0.012391
3.6,0.020175,0.060526,0.018587
3.6,0.060526,0.100877,0.024783
3.6,0.100877,0.141228,0.022717
3.6,0.141228,0.181579,0.020652
3.6,0.181579,0.22193,0.010326
3.6,0.22193,0.262281,0.020652
3.6,0.262281,0.302632,0.026848
3.6,0.302632,0.342982,0.008261
3.6,0.342982,0.383333,0.016522
3.6,0.383333,0.423684,0.012391
3.6,0.423684,0.464035,0.016522
3.6,0.464035,0.504386,0.018587
3.6,0.504386,0.544737,0.020652
3.6,0.544737,0.585088,0.028913
3.6,0.585088,0.625439,0.045435
3.6,0.625439,0.665789,0.049565
3.6,0.665789,0.70614,0.059891
3.6,0.70614,0.746491,0.049565
3.6,0.746491,0.786842,0.033043
3.6,0.786842,0.827193,0
3.6,0.827193,0.867544,0
3.6,0.867544,0.907895,0
3.6,0.907895,0.948246,0
3.6,0.948246,0.988596,0
3.6,0.988596,1.02895,0
3.6,1.02895,1.0693,0
3.6,1.0693,1.10965,0
3.6,1.10965,1.15,0
3.8,-1.15,-1.10965,0
3.8,-1.10965,-1.0693,0
3.8,-1.0693,-1.02895,0
3.8,-1.02895,-0.988596,0
3.8,-0.988596,-0.948246,0
3.8,-0.948246,-0.907895,0
3.8,-0.907895,-0.867544,0.024783
