observation_phase,information_boundary_active_branch,gap,bracket_t_left,p_left,bracket_t_right,p_right
0.0,3.7818367346938775,0.37273457511477215,3.78,0.953,3.79,0.9366666666666666
0.025,3.7904166666666668,0.36415464314198287,3.79,0.9503333333333334,3.8,0.9423333333333334
0.05,3.6974358974358976,0.457135412372752,3.69,0.9596666666666667,3.7,0.9466666666666667
0.075,3.7170967741935486,0.4374745356151011,3.71,0.9573333333333334,3.72,0.947
0.1,3.7223076923076923,0.4322636175009573,3.72,0.954,3.73,0.9366666666666666
0.125,3.7273529411764708,0.4272183686321789,3.72,0.9583333333333334,3.73,0.947
0.15,3.7354545454545454,0.4191167643541043,3.73,0.956,3.74,0.945
0.175,3.7488888888888887,0.4056824209197609,3.74,0.958,3.75,0.949
0.2,3.7658974358974358,0.3886738739112139,3.76,0.9576666666666667,3.77,0.9446666666666667
0.225,3.7657142857142856,0.38885702409436407,3.76,0.9513333333333334,3.77,0.949
